カテゴリ,建物名,住所,築年数,階数,階,家賃,間取り
賃貸マンション,京急本線 京急鶴見駅 5階建 築2年,神奈川県横浜市鶴見区鶴見中央４,築2年,5階建,4階,10.5万円,1LDK
賃貸マンション,ユアメゾン鶴見青色,神奈川県横浜市鶴見区鶴見中央４,築2年,5階建,4階,10.5万円,1LDK
賃貸アパート,コンフォール鶴見,神奈川県横浜市鶴見区向井町３,築5年,3階建,1階,8.6万円,1LDK
賃貸アパート,ＪＲ鶴見線 浅野駅 3階建 築5年,神奈川県横浜市鶴見区向井町３,築5年,3階建,1階,8.6万円,1LDK
賃貸マンション,京急本線 鶴見市場駅 11階建 築6年,神奈川県横浜市鶴見区市場富士見町,築6年,11階建,1階,6.9万円,1K
賃貸マンション,京急本線 鶴見市場駅 11階建 築6年,神奈川県横浜市鶴見区市場富士見町,築6年,11階建,5階,7.5万円,1K
賃貸マンション,京急本線 鶴見市場駅 11階建 築6年,神奈川県横浜市鶴見区市場富士見町,築6年,11階建,4階,7.1万円,1K
賃貸マンション,京急本線 鶴見市場駅 11階建 築6年,神奈川県横浜市鶴見区市場富士見町,築6年,11階建,8階,7.8万円,1K
賃貸マンション,京急本線 生麦駅 10階建 築8年,神奈川県横浜市鶴見区生麦４,築8年,10階建,10階,7.9万円,1K
賃貸マンション,京急本線 生麦駅 10階建 築8年,神奈川県横浜市鶴見区生麦４,築8年,10階建,10階,7.9万円,1K
賃貸マンション,京急本線 生麦駅 10階建 築8年,神奈川県横浜市鶴見区生麦４,築8年,10階建,3階,7.45万円,1K
賃貸アパート,京急本線 鶴見市場駅 2階建 築7年,神奈川県横浜市鶴見区平安町１,築7年,2階建,1階,6.5万円,1K
賃貸マンション,Nステージ鶴見,神奈川県横浜市鶴見区鶴見中央３,築7年,7階建,1階,7.95万円,1K
賃貸マンション,Nステージ鶴見,神奈川県横浜市鶴見区鶴見中央３,築7年,7階建,2階,8.55万円,1K
賃貸マンション,Nステージ鶴見,神奈川県横浜市鶴見区鶴見中央３,築7年,7階建,3階,8.6万円,1K
賃貸マンション,Nステージ鶴見,神奈川県横浜市鶴見区鶴見中央３,築7年,7階建,3階,8.6万円,1K
賃貸マンション,ＪＲ南武線 尻手駅 7階建 築1年,神奈川県横浜市鶴見区矢向１,築1年,7階建,1階,6.9万円,1K
賃貸マンション,ＪＲ南武線 尻手駅 7階建 築1年,神奈川県横浜市鶴見区矢向１,築1年,7階建,2階,7万円,1K
賃貸マンション,ＪＲ南武線 尻手駅 7階建 築1年,神奈川県横浜市鶴見区矢向１,築1年,7階建,6階,7.2万円,1K
賃貸マンション,ＪＲ南武線 尻手駅 7階建 築1年,神奈川県横浜市鶴見区矢向１,築1年,7階建,7階,7.3万円,1K
賃貸アパート,トルースVI,神奈川県横浜市鶴見区生麦５,築6年,3階建,1階,6.9万円,1K
賃貸アパート,トルースVI,神奈川県横浜市鶴見区生麦５,築6年,3階建,1階,7.9万円,1K
賃貸アパート,トルースVI,神奈川県横浜市鶴見区生麦５,築6年,3階建,1階,8万円,1K
賃貸アパート,トルースVI,神奈川県横浜市鶴見区生麦５,築6年,3階建,2階,8.1万円,1K
賃貸マンション,ＪＲ京浜東北線 鶴見駅 3階建 築7年,神奈川県横浜市鶴見区寺谷２,築7年,3階建,1階,11.1万円,1LDK
賃貸アパート,ＪＲ南武線 尻手駅 3階建 築7年,神奈川県横浜市鶴見区矢向１,築7年,3階建,2階,7万円,1K
賃貸アパート,ＪＲ南武線 尻手駅 3階建 築7年,神奈川県横浜市鶴見区矢向１,築7年,3階建,2階,7.2万円,1K
賃貸アパート,サントルグルー,神奈川県横浜市鶴見区鶴見中央３,築8年,2階建,1階,6.2万円,1K
賃貸アパート,サントルグルー,神奈川県横浜市鶴見区鶴見中央３,築8年,2階建,2階,6.5万円,1K
賃貸アパート,京急本線 京急鶴見駅 2階建 築8年,神奈川県横浜市鶴見区鶴見中央３,築8年,2階建,1階,6.2万円,1K
賃貸アパート,京急本線 京急鶴見駅 2階建 築8年,神奈川県横浜市鶴見区鶴見中央３,築8年,2階建,2階,6.5万円,1K
賃貸マンション,京急本線 鶴見市場駅 7階建 築16年,神奈川県横浜市鶴見区市場大和町,築16年,7階建,3階,7万円,1K
賃貸マンション,京急本線 鶴見市場駅 7階建 築16年,神奈川県横浜市鶴見区市場大和町,築16年,7階建,3階,7万円,1K
賃貸マンション,京急本線 鶴見市場駅 7階建 築16年,神奈川県横浜市鶴見区市場大和町,築16年,7階建,3階,7万円,1K
賃貸マンション,京急本線 鶴見市場駅 7階建 築16年,神奈川県横浜市鶴見区市場大和町,築16年,7階建,4階,7万円,1K
賃貸マンション,京急本線 鶴見市場駅 7階建 築16年,神奈川県横浜市鶴見区市場大和町,築16年,7階建,2階,7.2万円,1K
賃貸マンション,京急本線 鶴見市場駅 7階建 築16年,神奈川県横浜市鶴見区市場大和町,築16年,7階建,2階,7.2万円,1K
賃貸マンション,ミリオンステーションプラザ鶴見市場,神奈川県横浜市鶴見区市場大和町,築16年,7階建,3階,7万円,1K
賃貸マンション,ミリオンステーションプラザ鶴見市場,神奈川県横浜市鶴見区市場大和町,築16年,7階建,3階,7万円,1K
賃貸マンション,ミリオンステーションプラザ鶴見市場,神奈川県横浜市鶴見区市場大和町,築16年,7階建,4階,7万円,1K
賃貸マンション,ミリオンステーションプラザ鶴見市場,神奈川県横浜市鶴見区市場大和町,築16年,7階建,2階,7.2万円,1K
賃貸マンション,京急本線 京急鶴見駅 11階建 新築,神奈川県横浜市鶴見区鶴見中央５,新築,11階建,2階,7.3万円,ワンルーム
賃貸マンション,京急本線 京急鶴見駅 11階建 新築,神奈川県横浜市鶴見区鶴見中央５,新築,11階建,2階,7.3万円,ワンルーム
賃貸マンション,京急本線 京急鶴見駅 11階建 新築,神奈川県横浜市鶴見区鶴見中央５,新築,11階建,2階,7.3万円,ワンルーム
賃貸マンション,京急本線 京急鶴見駅 11階建 新築,神奈川県横浜市鶴見区鶴見中央５,新築,11階建,3階,7.35万円,ワンルーム
賃貸マンション,京急本線 京急鶴見駅 11階建 新築,神奈川県横浜市鶴見区鶴見中央５,新築,11階建,2階,7.35万円,ワンルーム
賃貸マンション,京急本線 京急鶴見駅 11階建 新築,神奈川県横浜市鶴見区鶴見中央５,新築,11階建,3階,7.35万円,ワンルーム
賃貸マンション,京急本線 京急鶴見駅 11階建 新築,神奈川県横浜市鶴見区鶴見中央５,新築,11階建,4階,7.4万円,ワンルーム
賃貸マンション,京急本線 京急鶴見駅 11階建 新築,神奈川県横浜市鶴見区鶴見中央５,新築,11階建,4階,7.4万円,ワンルーム
賃貸マンション,京急本線 京急鶴見駅 11階建 新築,神奈川県横浜市鶴見区鶴見中央５,新築,11階建,4階,7.4万円,ワンルーム
賃貸マンション,京急本線 京急鶴見駅 11階建 新築,神奈川県横浜市鶴見区鶴見中央５,新築,11階建,5階,7.45万円,ワンルーム
賃貸マンション,京急本線 京急鶴見駅 11階建 新築,神奈川県横浜市鶴見区鶴見中央５,新築,11階建,5階,7.45万円,ワンルーム
賃貸マンション,京急本線 京急鶴見駅 11階建 新築,神奈川県横浜市鶴見区鶴見中央５,新築,11階建,5階,7.45万円,ワンルーム
賃貸マンション,京急本線 京急鶴見駅 11階建 新築,神奈川県横浜市鶴見区鶴見中央５,新築,11階建,6階,7.5万円,ワンルーム
賃貸マンション,京急本線 京急鶴見駅 11階建 新築,神奈川県横浜市鶴見区鶴見中央５,新築,11階建,6階,7.5万円,ワンルーム
