カテゴリ,建物名,住所,間取り,家賃,階
賃貸マンション,京急本線 京急鶴見駅 5階建 築2年,神奈川県横浜市鶴見区鶴見中央４,1LDK,10.5万円,4階
賃貸マンション,ユアメゾン鶴見青色,神奈川県横浜市鶴見区鶴見中央４,1LDK,10.5万円,4階
賃貸アパート,コンフォール鶴見,神奈川県横浜市鶴見区向井町３,1LDK,8.6万円,1階
賃貸アパート,ＪＲ鶴見線 浅野駅 3階建 築5年,神奈川県横浜市鶴見区向井町３,1LDK,8.6万円,1階
賃貸マンション,京急本線 鶴見市場駅 11階建 築6年,神奈川県横浜市鶴見区市場富士見町,1K,6.9万円,1階
賃貸マンション,京急本線 鶴見市場駅 11階建 築6年,神奈川県横浜市鶴見区市場富士見町,1K,7.5万円,5階
賃貸マンション,京急本線 鶴見市場駅 11階建 築6年,神奈川県横浜市鶴見区市場富士見町,1K,7.1万円,4階
賃貸マンション,京急本線 鶴見市場駅 11階建 築6年,神奈川県横浜市鶴見区市場富士見町,1K,7.8万円,8階
賃貸マンション,京急本線 生麦駅 10階建 築8年,神奈川県横浜市鶴見区生麦４,1K,7.9万円,10階
賃貸マンション,京急本線 生麦駅 10階建 築8年,神奈川県横浜市鶴見区生麦４,1K,7.9万円,10階
賃貸マンション,京急本線 生麦駅 10階建 築8年,神奈川県横浜市鶴見区生麦４,1K,7.45万円,3階
賃貸アパート,京急本線 鶴見市場駅 2階建 築7年,神奈川県横浜市鶴見区平安町１,1K,6.5万円,1階
賃貸マンション,Nステージ鶴見,神奈川県横浜市鶴見区鶴見中央３,1K,7.95万円,1階
賃貸マンション,Nステージ鶴見,神奈川県横浜市鶴見区鶴見中央３,1K,8.55万円,2階
賃貸マンション,Nステージ鶴見,神奈川県横浜市鶴見区鶴見中央３,1K,8.6万円,3階
賃貸マンション,Nステージ鶴見,神奈川県横浜市鶴見区鶴見中央３,1K,8.6万円,3階
賃貸マンション,ＪＲ南武線 尻手駅 7階建 築1年,神奈川県横浜市鶴見区矢向１,1K,6.9万円,1階
賃貸マンション,ＪＲ南武線 尻手駅 7階建 築1年,神奈川県横浜市鶴見区矢向１,1K,7万円,2階
賃貸マンション,ＪＲ南武線 尻手駅 7階建 築1年,神奈川県横浜市鶴見区矢向１,1K,7.2万円,6階
賃貸マンション,ＪＲ南武線 尻手駅 7階建 築1年,神奈川県横浜市鶴見区矢向１,1K,7.3万円,7階
賃貸アパート,トルースVI,神奈川県横浜市鶴見区生麦５,1K,6.9万円,1階
賃貸アパート,トルースVI,神奈川県横浜市鶴見区生麦５,1K,7.9万円,1階
賃貸アパート,トルースVI,神奈川県横浜市鶴見区生麦５,1K,8万円,1階
賃貸アパート,トルースVI,神奈川県横浜市鶴見区生麦５,1K,8.1万円,2階
賃貸マンション,ＪＲ京浜東北線 鶴見駅 3階建 築7年,神奈川県横浜市鶴見区寺谷２,1LDK,11.1万円,1階
賃貸アパート,ＪＲ南武線 尻手駅 3階建 築7年,神奈川県横浜市鶴見区矢向１,1K,7万円,2階
賃貸アパート,ＪＲ南武線 尻手駅 3階建 築7年,神奈川県横浜市鶴見区矢向１,1K,7.2万円,2階
賃貸アパート,サントルグルー,神奈川県横浜市鶴見区鶴見中央３,1K,6.2万円,1階
賃貸アパート,サントルグルー,神奈川県横浜市鶴見区鶴見中央３,1K,6.5万円,2階
賃貸アパート,京急本線 京急鶴見駅 2階建 築8年,神奈川県横浜市鶴見区鶴見中央３,1K,6.2万円,1階
賃貸アパート,京急本線 京急鶴見駅 2階建 築8年,神奈川県横浜市鶴見区鶴見中央３,1K,6.5万円,2階
賃貸マンション,京急本線 鶴見市場駅 7階建 築16年,神奈川県横浜市鶴見区市場大和町,1K,7万円,3階
賃貸マンション,京急本線 鶴見市場駅 7階建 築16年,神奈川県横浜市鶴見区市場大和町,1K,7万円,3階
賃貸マンション,京急本線 鶴見市場駅 7階建 築16年,神奈川県横浜市鶴見区市場大和町,1K,7万円,3階
賃貸マンション,京急本線 鶴見市場駅 7階建 築16年,神奈川県横浜市鶴見区市場大和町,1K,7万円,4階
賃貸マンション,京急本線 鶴見市場駅 7階建 築16年,神奈川県横浜市鶴見区市場大和町,1K,7.2万円,2階
賃貸マンション,京急本線 鶴見市場駅 7階建 築16年,神奈川県横浜市鶴見区市場大和町,1K,7.2万円,2階
